n,time_ms
10,0.004
20,0.002
30,0.001
40,0.001
50,0.001
60,0.001
70,0.002
80,0.002
90,0.002
100,0.002
110,0.002
120,0.003
130,0.002
140,0.003
150,0.003
160,0.003
170,0.003
180,0.004
190,0.003
200,0.005
210,0.004
220,0.004
230,0.004
240,0.005
250,0.004
260,0.004
270,0.004
280,0.004
290,0.005
300,0.005
310,0.005
320,0.005
330,0.005
340,0.005
350,0.006
360,0.006
370,0.007
380,0.006
390,0.006
400,0.006
410,0.007
420,0.007
430,0.006
440,0.007
450,0.007
460,0.007
470,0.007
480,0.007
490,0.007
500,0.007
510,0.008
520,0.008
530,0.007
540,0.008
550,0.008
560,0.009
570,0.011
580,0.009
590,0.009
600,0.009
610,0.009
620,0.009
630,0.009
640,0.009
650,0.010
660,0.009
670,0.009
680,0.016
690,0.009
700,0.010
710,0.010
720,0.011
730,0.014
740,0.011
750,0.080
760,0.013
770,0.011
780,0.011
790,0.011
800,0.011
810,0.011
820,0.012
830,0.011
840,0.011
850,0.012
860,0.012
870,0.012
880,0.012
890,0.013
900,0.020
910,0.013
920,0.013
930,0.012
940,0.015
950,0.013
960,0.013
970,0.013
980,0.013
990,0.014
1000,0.014
1010,0.013
1020,0.013
1030,0.020
1040,0.013
1050,0.014
1060,0.020
1070,0.015
1080,0.021
1090,0.015
1100,0.015
1110,0.018
1120,0.015
1130,0.015
1140,0.015
1150,0.017
1160,0.016
1170,0.015
1180,0.016
1190,0.016
1200,0.016
1210,0.016
1220,0.016
1230,0.015
1240,0.017
1250,0.020
1260,0.019
1270,0.017
1280,0.018
1290,0.018
1300,0.018
1310,0.018
1320,0.018
1330,0.018
1340,0.018
1350,0.018
1360,0.018
1370,0.020
1380,0.025
1390,0.020
1400,0.020
1410,0.026
1420,0.019
1430,0.020
1440,0.020
1450,0.019
1460,0.021
1470,0.029
1480,0.020
1490,0.019
1500,0.020
1510,0.028
1520,0.022
1530,0.029
1540,0.021
1550,0.021
1560,0.021
1570,0.022
1580,0.021
1590,0.022
1600,0.021
1610,0.021
1620,0.022
1630,0.022
1640,0.021
1650,0.022
1660,0.022
1670,0.024
1680,0.023
1690,0.023
1700,0.022
1710,0.022
1720,0.023
1730,0.023
1740,0.023
1750,0.022
1760,0.023
1770,0.022
1780,0.023
1790,0.022
1800,0.024
1810,0.027
1820,0.025
1830,0.026
1840,0.033
1850,0.024
1860,0.025
1870,0.025
1880,0.025
1890,0.025
1900,0.025
1910,0.024
1920,0.025
1930,0.026
1940,0.025
1950,0.025
1960,0.026
1970,0.026
1980,0.028
1990,0.052
2000,0.025
2010,0.030
2020,0.027
2030,0.026
2040,0.026
2050,0.027
2060,0.026
2070,0.025
2080,0.028
2090,0.026
2100,0.028
2110,0.029
2120,0.029
2130,0.036
2140,0.039
2150,0.029
2160,0.029
2170,0.028
2180,0.028
2190,0.028
2200,0.029
2210,0.030
2220,0.029
2230,0.028
2240,0.028
2250,0.029
2260,0.037
2270,0.031
2280,0.039
2290,0.032
2300,0.029
2310,0.030
2320,0.030
2330,0.030
2340,0.031
2350,0.030
2360,0.030
2370,0.031
2380,0.031
2390,0.030
2400,0.039
2410,0.044
2420,0.031
2430,0.035
2440,0.033
2450,0.033
2460,0.033
2470,0.031
2480,0.032
2490,0.032
2500,0.032
2510,0.033
2520,0.034
2530,0.033
2540,0.033
2550,0.033
2560,0.032
2570,0.036
2580,0.045
2590,0.039
2600,0.033
2610,0.034
2620,0.033
2630,0.034
2640,0.035
2650,0.034
2660,0.034
2670,0.035
2680,0.035
2690,0.035
2700,0.036
2710,0.051
2720,0.038
2730,0.039
2740,0.036
2750,0.035
2760,0.036
2770,0.035
2780,0.036
2790,0.035
2800,0.035
2810,0.037
2820,0.036
2830,0.037
2840,0.036
2850,0.037
2860,0.037
2870,0.038
2880,0.195
2890,0.040
2900,0.038
2910,0.038
2920,0.037
2930,0.037
2940,0.039
2950,0.039
2960,0.039
2970,0.039
2980,0.038
2990,0.040
3000,0.039
3010,0.039
3020,0.042
3030,0.044
3040,0.041
3050,0.040
3060,0.041
3070,0.039
3080,0.040
3090,0.041
3100,0.040
3110,0.041
3120,0.041
3130,0.041
3140,0.041
3150,0.055
3160,0.045
3170,0.047
3180,0.042
3190,0.043
3200,0.040
3210,0.042
3220,0.041
3230,0.043
3240,0.041
3250,0.056
3260,0.104
3270,0.043
3280,0.044
3290,0.042
3300,0.046
3310,0.044
3320,0.043
3330,0.042
3340,0.045
3350,0.044
3360,0.048
3370,0.043
3380,0.064
3390,0.064
3400,0.054
3410,0.045
3420,0.046
3430,0.051
3440,0.048
3450,0.046
3460,0.045
3470,0.048
3480,0.045
3490,0.045
3500,0.044
3510,0.048
3520,0.058
3530,0.045
3540,0.046
3550,0.045
3560,0.046
3570,0.047
3580,0.048
3590,0.046
3600,0.046
3610,0.048
3620,0.047
3630,0.046
3640,0.045
3650,0.048
3660,0.046
3670,0.048
3680,0.049
3690,0.048
3700,0.049
3710,0.048
3720,0.048
3730,0.049
3740,0.048
3750,0.048
3760,0.048
3770,0.048
3780,0.049
3790,0.061
3800,0.076
3810,0.050
3820,0.048
3830,0.049
3840,0.051
3850,0.050
3860,0.050
3870,0.051
3880,0.051
3890,0.051
3900,0.051
3910,0.050
3920,0.072
3930,0.051
3940,0.050
3950,0.050
3960,0.053
3970,0.052
3980,0.052
3990,0.052
4000,0.050
4010,0.052
4020,0.051
4030,0.051
4040,0.052
4050,0.052
4060,0.051
4070,0.055
4080,0.051
4090,0.053
4100,0.054
4110,0.052
4120,0.054
4130,0.052
4140,0.053
4150,0.051
4160,0.054
4170,0.054
4180,0.053
4190,0.054
4200,0.061
4210,0.055
4220,0.055
4230,0.056
4240,0.055
4250,0.056
4260,0.053
4270,0.055
4280,0.055
4290,0.056
4300,0.056
4310,0.056
4320,0.059
4330,0.054
4340,0.057
4350,0.056
4360,0.058
4370,0.058
4380,0.057
4390,0.058
4400,0.056
4410,0.057
4420,0.057
4430,0.057
4440,0.076
4450,0.056
4460,0.058
4470,0.059
4480,0.057
4490,0.059
4500,0.059
4510,0.059
4520,0.058
4530,0.059
4540,0.059
4550,0.060
4560,0.058
4570,0.068
4580,0.060
4590,0.059
4600,0.058
4610,0.059
4620,0.059
4630,0.059
4640,0.062
4650,0.059
4660,0.061
4670,0.060
4680,0.060
4690,0.065
4700,0.061
4710,0.060
4720,0.060
4730,0.061
4740,0.064
4750,0.062
4760,0.061
4770,0.062
4780,0.061
4790,0.062
4800,0.063
4810,0.083
4820,0.062
4830,0.060
4840,0.063
4850,0.064
4860,0.061
4870,0.063
4880,0.066
4890,0.063
4900,0.064
4910,0.074
4920,0.065
4930,0.076
4940,0.068
4950,0.065
4960,0.065
4970,0.066
4980,0.063
4990,0.064
5000,0.064
5010,0.065
5020,0.074
5030,0.066
5040,0.066
5050,0.079
5060,0.065
5070,0.072
5080,0.066
5090,0.067
5100,0.065
5110,0.064
5120,0.068
5130,0.064
5140,0.067
5150,0.066
5160,0.068
5170,0.064
5180,0.069
5190,0.067
5200,0.066
5210,0.069
5220,0.066
5230,0.068
5240,0.069
5250,0.065
5260,0.068
5270,0.067
5280,0.068
5290,0.078
5300,0.071
5310,0.068
5320,0.071
5330,0.069
5340,0.068
5350,0.071
5360,0.067
5370,0.086
5380,0.071
5390,0.076
5400,0.078
5410,0.071
5420,0.073
5430,0.070
5440,0.069
5450,0.071
5460,0.069
5470,0.068
5480,0.069
5490,0.071
5500,0.070
5510,0.071
5520,0.070
5530,0.074
5540,0.074
5550,0.072
5560,0.071
5570,0.070
5580,0.072
5590,0.071
5600,0.071
5610,0.078
5620,0.071
5630,0.079
5640,0.088
5650,0.093
5660,0.071
5670,0.073
5680,0.072
5690,0.074
5700,0.073
5710,0.073
5720,0.074
5730,0.074
5740,0.073
5750,0.074
5760,0.074
5770,0.076
5780,0.076
5790,0.077
5800,0.076
5810,0.073
5820,0.074
5830,0.073
5840,0.076
5850,0.074
5860,0.099
5870,0.073
5880,0.143
5890,0.076
5900,0.075
5910,0.092
5920,0.103
5930,0.075
5940,0.074
5950,0.076
5960,0.076
5970,0.078
5980,0.079
5990,0.075
6000,0.086
6010,0.086
6020,0.077
6030,0.077
6040,0.079
6050,0.078
6060,0.077
6070,0.077
6080,0.079
6090,0.076
6100,0.090
6110,0.080
6120,0.080
6130,0.079
6140,0.078
6150,0.079
6160,0.077
6170,0.078
6180,0.076
6190,0.078
6200,0.078
6210,0.076
6220,0.081
6230,0.081
6240,0.080
6250,0.080
6260,0.079
6270,0.081
6280,0.080
6290,0.082
6300,0.079
6310,0.081
6320,0.080
6330,0.079
6340,0.084
6350,0.096
6360,0.084
6370,0.083
6380,0.080
6390,0.083
6400,0.081
6410,0.083
6420,0.082
6430,0.083
6440,0.100
6450,0.092
6460,0.085
6470,0.085
6480,0.082
6490,0.085
6500,0.084
6510,0.083
6520,0.082
6530,0.096
6540,0.085
6550,0.093
6560,0.084
6570,0.086
6580,0.086
6590,0.088
6600,0.084
6610,0.084
6620,0.085
6630,0.085
6640,0.083
6650,0.087
6660,0.085
6670,0.086
6680,0.085
6690,0.096
6700,0.085
6710,0.085
6720,0.085
6730,0.086
6740,0.088
6750,0.090
6760,0.091
6770,0.108
6780,0.088
6790,0.086
6800,0.087
6810,0.086
6820,0.086
6830,0.092
6840,0.084
6850,0.087
6860,0.087
6870,0.094
6880,0.088
6890,0.089
6900,0.091
6910,0.091
6920,0.089
6930,0.090
6940,0.089
6950,0.089
6960,0.088
6970,0.102
6980,0.091
6990,0.089
7000,0.125
7010,0.105
7020,0.104
7030,0.103
7040,0.102
7050,0.100
7060,0.101
7070,0.137
7080,0.143
7090,0.129
7100,0.103
7110,0.104
7120,0.102
7130,0.104
7140,0.114
7150,0.103
7160,0.110
7170,0.116
7180,0.108
7190,0.107
7200,0.108
7210,0.106
7220,0.106
7230,0.103
7240,0.106
7250,0.105
7260,0.133
7270,0.136
7280,0.105
7290,0.120
7300,0.173
7310,0.105
7320,0.105
7330,0.106
7340,0.106
7350,0.134
7360,0.112
7370,0.112
7380,0.110
7390,0.111
7400,0.108
7410,0.112
7420,0.107
7430,0.107
7440,0.116
7450,0.117
7460,0.109
7470,0.107
7480,0.123
7490,0.108
7500,0.109
7510,0.109
7520,0.108
7530,0.109
7540,0.132
7550,0.113
7560,0.116
7570,0.110
7580,0.111
7590,0.112
7600,0.108
7610,0.110
7620,0.111
7630,0.112
7640,0.116
7650,0.120
7660,0.153
7670,0.114
7680,0.122
7690,0.142
7700,0.113
7710,0.111
7720,0.114
7730,0.126
7740,0.116
7750,0.150
7760,0.112
7770,0.121
7780,0.118
7790,0.114
7800,0.117
7810,0.111
7820,0.114
7830,0.126
7840,0.132
7850,0.115
7860,0.112
7870,0.120
7880,0.121
7890,0.114
7900,0.114
7910,0.116
