n,time_ms
1,0.000
2,0.000
3,0.001
4,0.001
5,0.001
6,0.001
7,0.001
8,0.001
9,0.002
10,0.002
11,0.002
12,0.003
13,0.003
14,0.004
15,0.004
16,0.005
17,0.006
18,0.007
19,0.009
20,0.007
21,0.008
22,0.011
23,0.012
24,0.013
25,0.015
26,0.016
27,0.018
28,0.019
29,0.021
30,0.022
31,0.024
32,0.027
33,0.043
34,0.028
35,0.034
36,0.036
37,0.039
38,0.045
39,0.045
40,0.048
41,0.063
42,0.049
43,0.052
44,0.061
45,0.066
46,0.068
47,0.074
48,0.075
49,0.081
50,0.086
51,0.088
52,0.093
53,0.137
54,0.104
55,0.136
56,0.118
57,0.120
58,0.125
59,0.131
60,0.138
61,0.137
62,0.151
63,0.150
64,0.239
65,0.171
66,0.182
67,0.185
68,0.195
69,0.204
70,0.210
71,0.237
72,0.289
73,0.238
74,0.242
75,0.256
76,0.269
77,0.275
78,0.285
79,0.296
80,0.309
81,0.344
82,0.318
83,0.342
84,0.418
85,0.523
86,0.428
87,0.491
88,0.399
89,0.414
90,0.425
91,0.435
92,0.455
93,0.469
94,0.471
95,0.771
96,0.512
97,0.531
98,0.541
99,0.560
100,0.576
101,0.594
102,0.609
103,0.624
104,0.654
105,0.931
106,0.678
107,0.703
108,0.721
109,0.732
110,0.775
111,0.773
112,0.797
113,0.837
114,0.831
115,0.862
116,0.879
117,0.907
118,0.919
119,0.952
120,1.006
121,0.992
122,1.509
123,1.040
124,1.066
125,1.092
126,1.171
127,1.142
128,1.164
129,1.210
130,1.387
131,1.236
132,1.272
133,1.375
134,1.374
135,1.354
136,1.431
137,1.414
138,1.482
139,1.520
140,1.506
141,1.551
142,1.629
143,1.607
144,1.669
145,1.764
146,1.706
147,2.621
148,1.793
149,3.581
150,2.055
151,2.554
152,2.000
153,2.018
154,2.046
155,2.439
156,2.120
157,2.217
158,2.624
159,2.664
160,2.252
161,2.540
162,2.511
163,2.326
164,2.385
165,2.426
166,4.001
167,2.595
168,2.673
169,2.676
170,2.628
171,3.012
172,2.726
173,2.761
174,2.817
175,2.860
176,3.097
177,3.048
